strain_slug,strain_category,strain_popularity
pure-afghan,Indica,0.001663627259208577
red-dwarf,Indica,0.0014042890131627955
anesthesia,Indica,0.002201616173878017
strawberry-kush,Hybrid,0.051329660294486865
banana-kush,Hybrid,0.14991405971952845
aloha,Sativa,0.003263799415661271
el-jeffe,Indica,0.033882265954130235
blueberry-headband,Hybrid,0.05053509205128276
platinum-kush,Indica,0.12289598053307806
pure-kush,Indica,0.02104778169237518
diablo,Indica,0.029628015151974968
orange-bud,Hybrid,0.03345187482239469
domino,Indica,0.0005269532446249388
grand-hindu,Indica,0.0013325571578735368
purple-goo,Indica,0.004577044150956932
double-d,Indica,0.002218169678944769
lemon-drop,Hybrid,0.022620364673716618
blue-bayou,Sativa,0.000601444017425323
champagne-kush,Hybrid,0.02044081983992761
superman-og,Indica,0.014666405489142281
wonderwoman-og,Indica,0.0013932533431182939
root-beer-kush,Sativa,0.004949498014958851
purple-candy,Indica,0.0240550017795018
buddhas-sister,Indica,0.007043516405902979
triple-diesel,Sativa,0.005418513991850157
ak-48,Hybrid,0.009214784487158621
woody-kush,Indica,0.0042459740496218895
el-nino,Hybrid,0.0013077269002734087
recon,Indica,0.022510007973271608
grape-skunk,Indica,0.0029299703968151056
pineapple-trainwreck,Hybrid,0.011568141124148529
banana-diesel,Hybrid,0.0033631204460617837
j-27,Sativa,0.001120120509516886
huckleberry,Hybrid,0.020821550456462903
red-dragon,Hybrid,0.035965248675029864
key-lime-haze,Sativa,0.0059537439890084715
sour-kush,Hybrid,0.04103338014296711
ultimate-trainwreck,Sativa,0.0031562016327273826
lemon-kush,Hybrid,0.11130576806884053
lsd,Hybrid,0.09935137849313444
sour-dream,Hybrid,0.006693133881990062
j1,Hybrid,0.026433188674091838
green-queen,Hybrid,0.006229635740121006
fucking-incredible,Indica,0.007898780834351833
super-cat-piss,Sativa,0.00037245386400192016
yumboldt,Indica,0.0069221240354134655
blue-widow,Hybrid,0.02239689235531547
venice-og,Sativa,0.0025299273577019323
cat-piss,Sativa,0.0415879225627033
kings-bread,Sativa,0.00197538493796574
early-girl,Indica,0.004185277864377133
pure-og,Indica,0.0032665583331723965
bubba-og,Indica,0.02872033129081473
purple-dragon,Indica,0.014600191468875272
master-bubba,Indica,0.004452892862956291
exodus-cheese,Hybrid,0.012053710606106587
pre-98-bubba-kush,Indica,0.04018915138456276
g13-haze,Hybrid,0.02985700530539837
purple-wreck,Indica,0.005051577962870488
red-haze,Sativa,0.006833838675057454
grape-kush,Hybrid,0.016939753518309557
shoreline,Hybrid,0.01306347441517846
pluto-kush,Indica,0.01301657281748933
blueberry-kush,Indica,0.06378617285721774
silver-pearl,Hybrid,0.004921908839847598
space-queen,Hybrid,0.04524900609996662
killer-queen,Hybrid,0.009761050154361435
green-candy,Sativa,0.004331500492466776
purple-sour-diesel,Hybrid,0.009421703300493021
hempstar,Sativa,0.0011090848394723846
blue-crack,Hybrid,0.005297121621360643
mars-og,Indica,0.013634570339981405
cherry-bomb,Hybrid,0.026852544135782884
cannalope-haze,Sativa,0.03202551446914289
jupiter-og,Indica,0.007948441349552091
agent-orange,Hybrid,0.061098987201381676
mango,Indica,0.053583695901076256
deep-purple,Indica,0.004061126576376493
harlequin,Sativa,0.11753540380896152
hippie-crippler,Hybrid,0.02854376057010272
yoda-og,Indica,0.024441250231059343
blue-champange,Hybrid,0.002132643236099884
green-crack-extreme,Sativa,0.0018181266398315961
pineapple-diesel,Hybrid,0.018661318045251764
odyssey,Hybrid,0.0007669790680928432
green-goblin,Sativa,0.02353908420492136
blue-goo,Hybrid,0.006403447543321903
grape-crush,Hybrid,0.0
nebula,Hybrid,0.013971158276338696
black-domina,Indica,0.04434684007382863
lemon-g,Sativa,0.02361909281274399
euphoria,Sativa,0.011557105454104028
purple-passion,Indica,0.014332576470296112
skunk-1,Hybrid,0.08770322876116328
ice,Hybrid,0.037077092432013375
purple-sage,Hybrid,0.000626274275025451
big-wreck,Indica,0.0012746198901399048
bordello,Hybrid,0.008094663977641732
blockhead,Hybrid,0.003619699774596439
purple-tonic,Indica,0.00037245386400192016
blue-rhino,Hybrid,0.008351243306176391
golden-goat,Hybrid,0.099914197665404
blueberry-cheesecake,Hybrid,0.028794822063615118
berry-white,Indica,0.11333081352200652
a-train,Hybrid,0.003272076168194647
sour-flower,Sativa,0.0038183418353974633
100-og,Hybrid,0.010274208811430749
bruce-banner,Hybrid,0.2369965320406885
sweet-kush,Hybrid,0.007319408157015514
pineapple-kush,Hybrid,0.04411233208538298
raspberry-kush,Indica,0.020556694375394872
chiesel,Hybrid,0.017946758409870305
church-og,Indica,0.00865196531488905
sour-haze,Sativa,0.00693040078794684
white-queen,Hybrid,0.0020471167932549984
taliban-poison,Indica,0.00041107870915767485
dj-short-blueberry,Indica,0.018862719023563915
hawaiian-sativa,Sativa,0.0032886296732613997
neptune-kush,Indica,0.0007035239653369604
afgoo,Indica,0.022730721374161638
death-star,Indica,0.08981104173966302
xj-13,Hybrid,0.06788592427875
white-berry,Indica,0.010412154686987014
butterscotch,Indica,0.005719236000562819
medicine-man,Hybrid,0.005277809198782766
uk-cheese,Hybrid,0.042826676525198566
panama-red,Sativa,0.021188486485442568
afgooey,Indica,0.01248410173784214
permafrost,Hybrid,0.009460328145648771
matanuska-thunder-fuck,Sativa,0.019869723915124662
grapefruit,Sativa,0.05736065397380684
lifesaver,Hybrid,0.004521865800734424
shishkaberry,Indica,0.03415263987022052
tropicali,Hybrid,0.006544152336389294
lemon-haze,Sativa,0.2059366387004395
purple-buddha,Indica,0.0037741991552194577
qleaner,Hybrid,0.0013353160753846619
space-bomb,Hybrid,0.03897798659717873
the-flav,Hybrid,0.0021988572563668924
the-void,Hybrid,0.0015698240638303154
burmese-kush,Hybrid,0.00881750036555657
willie-nelson,Sativa,0.014851252962387675
power-kush,Indica,0.010494922212320774
707-headband,Hybrid,0.023563914462521485
vortex,Sativa,0.010310074739075376
papaya,Indica,0.08537746129928461
cherry-pie,Hybrid,0.2815144250002069
lemon-og,Hybrid,0.10972490833496568
blue-mystic,Indica,0.01136674014583638
lemon-diesel,Hybrid,0.048223119176959726
king-kush,Indica,0.03501618105120275
green-kush,Indica,0.007614612330705923
king-kong,Hybrid,0.021434030143932727
hawaiian-skunk,Hybrid,0.002276106946678401
darth-vader-og,Indica,0.010362494171786758
asian-fantasy,Sativa,0.00583786945354121
tiger-woods,Hybrid,0.0007200774704037124
platinum-bubba-kush,Indica,0.094719155991955
laughing-buddha,Sativa,0.039193182163046514
purple-skunk,Hybrid,0.01085909932378932
strawberry-diesel,Hybrid,0.042903926215510084
gravity,Indica,0.0019064120001876066
corleone-kush,Indica,0.004116304926598999
purple-nepal,Indica,0.0016029310739638196
cold-creek-kush,Hybrid,0.02087121097166316
banana-og,Hybrid,0.09457017444635422
blue-haze,Hybrid,0.018001936760092808
jah-kush,Hybrid,0.002734087253525207
maui-berry,Hybrid,0.0011752988597393927
frostbite,Sativa,0.005578531207495427
blue-moonshine,Indica,0.006152386049809497
tahoe-og,Hybrid,0.16423284160226895
california-orange,Hybrid,0.04276322142244269
dutch-dragon,Sativa,0.0026126948830356924
blackberry,Hybrid,0.053793373631921784
obama-kush,Indica,0.053376777087741856
armageddon,Hybrid,0.0029051401392149773
maui,Sativa,0.01301657281748933
funky-monkey,Indica,0.0070904180035921095
purple-voodoo,Hybrid,0.0074214881049271516
sharks-breath,Hybrid,0.008260199028309252
northern-skunk,Hybrid,0.0025713111203688123
alien-kush,Indica,0.023665994410433117
og-wreck,Hybrid,0.0045604906458901785
